Driver,Team,LapTimeSeconds,LapNumber,Stint,TyreLife,Compound,TrackStatus,PitInTime,PitOutTime
GAS,Alpine,89.445,51,3.0,18.0,HARD,1,,
ALB,Williams,88.675,51,3.0,7.0,HARD,1,,
HUL,Haas F1 Team,90.079,51,3.0,17.0,HARD,1,,
ZHO,Alfa Romeo,89.702,51,3.0,13.0,MEDIUM,1,,
SAR,Williams,88.837,51,3.0,9.0,HARD,1,,
BOT,Alfa Romeo,91.017,51,2.0,21.0,MEDIUM,1,,
MAG,Haas F1 Team,90.432,51,3.0,28.0,HARD,1,,
VER,Red Bull Racing,87.851,52,3.0,8.0,HARD,0,,
LEC,Ferrari,88.603,52,3.0,16.0,HARD,0,,
RUS,Mercedes,88.877,52,3.0,17.0,HARD,0,,
PER,Red Bull Racing,87.886,52,3.0,9.0,HARD,0,,
NOR,McLaren,88.839,52,3.0,18.0,HARD,0,,
PIA,McLaren,88.397,52,3.0,15.0,HARD,0,,
TSU,AlphaTauri,89.454,52,2.0,29.0,HARD,0,,
ALO,Aston Martin,88.604,52,3.0,16.0,HARD,0,,
HAM,Mercedes,88.372,52,3.0,16.0,HARD,0,,
SAI,Ferrari,89.645,52,2.0,28.0,HARD,0,,
STR,Aston Martin,88.864,52,3.0,9.0,MEDIUM,0,,
OCO,Alpine,90.984,52,2.0,36.0,HARD,0,,
RIC,AlphaTauri,88.743,52,3.0,20.0,HARD,0,,
GAS,Alpine,89.587,52,3.0,19.0,HARD,0,,
ALB,Williams,88.402,52,3.0,8.0,HARD,0,,
HUL,Haas F1 Team,90.105,52,3.0,18.0,HARD,0,,
ZHO,Alfa Romeo,89.608,52,3.0,14.0,MEDIUM,0,,
SAR,Williams,88.64,52,3.0,10.0,HARD,0,,
BOT,Alfa Romeo,90.924,52,2.0,22.0,MEDIUM,0,,
MAG,Haas F1 Team,91.497,52,3.0,29.0,HARD,0,,
VER,Red Bull Racing,87.683,53,3.0,9.0,HARD,1,,
LEC,Ferrari,88.545,53,3.0,17.0,HARD,1,,
RUS,Mercedes,88.825,53,3.0,18.0,HARD,1,,
PER,Red Bull Racing,88.307,53,3.0,10.0,HARD,1,,
NOR,McLaren,88.557,53,3.0,19.0,HARD,1,,
PIA,McLaren,88.788,53,3.0,16.0,HARD,1,,
TSU,AlphaTauri,89.413,53,2.0,30.0,HARD,1,,
ALO,Aston Martin,88.714,53,3.0,17.0,HARD,1,,
HAM,Mercedes,88.474,53,3.0,17.0,HARD,1,,
SAI,Ferrari,89.775,53,2.0,29.0,HARD,1,,
STR,Aston Martin,89.205,53,3.0,10.0,MEDIUM,1,,
RIC,AlphaTauri,88.742,53,3.0,21.0,HARD,1,,
OCO,Alpine,90.283,53,2.0,37.0,HARD,1,,
GAS,Alpine,89.532,53,3.0,20.0,HARD,1,,
ALB,Williams,88.608,53,3.0,9.0,HARD,1,,
HUL,Haas F1 Team,90.09,53,3.0,19.0,HARD,1,,
ZHO,Alfa Romeo,89.781,53,3.0,15.0,MEDIUM,1,,
SAR,Williams,88.943,53,3.0,11.0,HARD,1,,
BOT,Alfa Romeo,91.713,53,2.0,23.0,MEDIUM,1,,
VER,Red Bull Racing,87.513,54,3.0,10.0,HARD,1,,
MAG,Haas F1 Team,90.445,53,3.0,30.0,HARD,1,,
LEC,Ferrari,88.778,54,3.0,18.0,HARD,1,,
RUS,Mercedes,90.038,54,3.0,19.0,HARD,1,,
PER,Red Bull Racing,88.024,54,3.0,11.0,HARD,1,,
NOR,McLaren,88.59,54,3.0,20.0,HARD,1,,
PIA,McLaren,88.536,54,3.0,17.0,HARD,1,,
TSU,AlphaTauri,89.385,54,2.0,31.0,HARD,1,,
ALO,Aston Martin,89.174,54,3.0,18.0,HARD,1,,
HAM,Mercedes,88.634,54,3.0,18.0,HARD,1,,
SAI,Ferrari,89.734,54,2.0,30.0,HARD,1,,
STR,Aston Martin,89.301,54,3.0,11.0,MEDIUM,1,,
RIC,AlphaTauri,88.76,54,3.0,22.0,HARD,1,,
OCO,Alpine,90.272,54,2.0,38.0,HARD,1,,
GAS,Alpine,89.435,54,3.0,21.0,HARD,1,,
ALB,Williams,88.812,54,3.0,10.0,HARD,1,,
HUL,Haas F1 Team,89.667,54,3.0,20.0,HARD,1,,
ZHO,Alfa Romeo,90.289,54,3.0,16.0,MEDIUM,1,,
SAR,Williams,88.923,54,3.0,12.0,HARD,1,,
VER,Red Bull Racing,87.93,55,3.0,11.0,HARD,1,,
BOT,Alfa Romeo,90.855,54,2.0,24.0,MEDIUM,1,,
MAG,Haas F1 Team,90.207,54,3.0,31.0,HARD,1,,
LEC,Ferrari,88.552,55,3.0,19.0,HARD,1,,
PER,Red Bull Racing,88.187,55,3.0,12.0,HARD,1,,
RUS,Mercedes,88.976,55,3.0,20.0,HARD,1,,
NOR,McLaren,88.458,55,3.0,21.0,HARD,1,,
PIA,McLaren,88.729,55,3.0,18.0,HARD,1,,
TSU,AlphaTauri,89.256,55,2.0,32.0,HARD,1,,
ALO,Aston Martin,88.952,55,3.0,19.0,HARD,1,,
HAM,Mercedes,88.584,55,3.0,19.0,HARD,1,,
SAI,Ferrari,89.654,55,2.0,31.0,HARD,1,,
STR,Aston Martin,89.458,55,3.0,12.0,MEDIUM,1,,
RIC,AlphaTauri,88.871,55,3.0,23.0,HARD,1,,
OCO,Alpine,90.287,55,2.0,39.0,HARD,1,,
GAS,Alpine,89.307,55,3.0,22.0,HARD,1,,
ALB,Williams,88.742,55,3.0,11.0,HARD,1,,
HUL,Haas F1 Team,89.576,55,3.0,21.0,HARD,1,,
ZHO,Alfa Romeo,90.416,55,3.0,17.0,MEDIUM,1,,
SAR,Williams,89.025,55,3.0,13.0,HARD,1,,
VER,Red Bull Racing,87.727,56,3.0,12.0,HARD,0,,
BOT,Alfa Romeo,90.53,55,2.0,25.0,MEDIUM,1,,
MAG,Haas F1 Team,90.252,55,3.0,32.0,HARD,1,,
LEC,Ferrari,88.657,56,3.0,20.0,HARD,0,,
PER,Red Bull Racing,87.896,56,3.0,13.0,HARD,0,,
RUS,Mercedes,88.466,56,3.0,21.0,HARD,0,,
NOR,McLaren,88.572,56,3.0,22.0,HARD,0,,
PIA,McLaren,88.706,56,3.0,19.0,HARD,0,,
TSU,AlphaTauri,91.027,56,2.0,33.0,HARD,0,,
ALO,Aston Martin,89.108,56,3.0,20.0,HARD,0,,
HAM,Mercedes,89.138,56,3.0,20.0,HARD,0,,
SAI,Ferrari,91.454,56,2.0,32.0,HARD,0,2023-11-26 14:28:46.679000+00:00,
STR,Aston Martin,89.655,56,3.0,13.0,MEDIUM,0,,
RIC,AlphaTauri,88.929,56,3.0,24.0,HARD,0,,
OCO,Alpine,90.208,56,2.0,40.0,HARD,0,,
GAS,Alpine,89.496,56,3.0,23.0,HARD,0,,
ALB,Williams,88.743,56,3.0,12.0,HARD,0,,
HUL,Haas F1 Team,89.507,56,3.0,22.0,HARD,0,,
ZHO,Alfa Romeo,90.2,56,3.0,18.0,MEDIUM,0,,
SAR,Williams,89.43,56,3.0,14.0,HARD,0,,
VER,Red Bull Racing,87.98,57,3.0,13.0,HARD,0,,
BOT,Alfa Romeo,90.13,56,2.0,26.0,MEDIUM,0,,
MAG,Haas F1 Team,90.429,56,3.0,33.0,HARD,0,,
LEC,Ferrari,89.031,57,3.0,21.0,HARD,0,,
PER,Red Bull Racing,87.991,57,3.0,14.0,HARD,0,,
RUS,Mercedes,88.557,57,3.0,22.0,HARD,0,,
NOR,McLaren,88.8,57,3.0,23.0,HARD,0,,
PIA,McLaren,88.786,57,3.0,20.0,HARD,0,,
ALO,Aston Martin,89.038,57,3.0,21.0,HARD,0,,
TSU,AlphaTauri,89.828,57,2.0,34.0,HARD,0,,
HAM,Mercedes,89.666,57,3.0,21.0,HARD,0,,
STR,Aston Martin,89.486,57,3.0,14.0,MEDIUM,0,,
SAI,Ferrari,110.847,57,3.0,0.0,SOFT,0,,2023-11-26 14:29:08.179000+00:00
RIC,AlphaTauri,89.06,57,3.0,25.0,HARD,0,,
OCO,Alpine,90.477,57,2.0,41.0,HARD,0,,
GAS,Alpine,89.642,57,3.0,24.0,HARD,0,,
ALB,Williams,88.749,57,3.0,13.0,HARD,0,,
HUL,Haas F1 Team,89.437,57,3.0,23.0,HARD,0,,
ZHO,Alfa Romeo,90.991,57,3.0,19.0,MEDIUM,0,,
SAR,Williams,89.265,57,3.0,15.0,HARD,0,,
VER,Red Bull Racing,88.545,58,3.0,14.0,HARD,1,,
BOT,Alfa Romeo,90.55,57,2.0,27.0,MEDIUM,0,,
MAG,Haas F1 Team,91.256,57,3.0,34.0,HARD,0,,
LEC,Ferrari,91.284,58,3.0,22.0,HARD,1,,
PER,Red Bull Racing,87.948,58,3.0,15.0,HARD,1,,
RUS,Mercedes,88.82,58,3.0,23.0,HARD,1,,
NOR,McLaren,88.588,58,3.0,24.0,HARD,1,,
PIA,McLaren,88.467,58,3.0,21.0,HARD,1,,
ALO,Aston Martin,88.706,58,3.0,22.0,HARD,1,,
TSU,AlphaTauri,90.38,58,2.0,35.0,HARD,1,,
HAM,Mercedes,90.894,58,3.0,22.0,HARD,1,,
STR,Aston Martin,89.683,58,3.0,15.0,MEDIUM,1,,
RIC,AlphaTauri,89.02,58,3.0,26.0,HARD,1,,
OCO,Alpine,90.639,58,2.0,42.0,HARD,1,,
GAS,Alpine,89.547,58,3.0,25.0,HARD,1,,
ALB,Williams,88.67,58,3.0,14.0,HARD,1,,
SAI,Ferrari,,58,,,,1,,
HUL,Haas F1 Team,89.217,58,3.0,24.0,HARD,1,,
SAR,Williams,89.379,58,3.0,16.0,HARD,1,,
ZHO,Alfa Romeo,90.327,58,3.0,20.0,MEDIUM,1,,
VER,Red Bull Racing,,59,,,,0,,
