Driver,Team,LapNumber,micro_sector,Speed,Throttle,Brake,rpm,TyreLife,AirTemp,LapTimeSeconds,TimeSeconds
ZHO,Alfa Romeo,45,88,182.5,100.0,0.0,10985.5,7.0,26.5,89.89,1.08
PER,Red Bull Racing,46,46,304.5,100.0,0.0,10783.0,3.0,26.5,87.914,0.6000000000000001
TSU,AlphaTauri,46,40,298.6666666666667,100.0,0.0,10612.666666666666,23.0,26.5,89.41000000000001,0.92
HUL,Haas F1 Team,45,94,250.66666666666666,66.0,33.333333333333336,11379.0,11.0,26.5,89.5,0.92
VER,Red Bull Racing,46,61,289.0,100.0,0.0,11449.5,2.0,26.5,87.902,0.6000000000000001
OCO,Alpine,46,22,288.5,100.0,0.0,10995.5,30.0,26.5,90.113,0.6000000000000001
HAM,Mercedes,46,27,101.83333333333333,17.666666666666668,0.0,7496.333333333333,10.0,26.5,89.729,1.8
SAR,Williams,45,82,109.28571428571429,2.0,71.42857142857143,7753.857142857143,3.0,26.5,88.79100000000001,2.08
RIC,AlphaTauri,46,9,201.5,100.0,0.0,11224.0,14.0,26.5,88.708,1.08
PIA,McLaren,46,39,304.3333333333333,99.0,0.0,10778.0,9.0,26.5,88.806,0.68
GAS,Alpine,46,3,265.0,100.0,0.0,11527.0,13.0,26.5,89.428,0.68
STR,Aston Martin,46,13,257.0,99.0,0.0,10779.666666666666,3.0,26.5,88.23899999999999,0.68
NOR,McLaren,46,48,240.0,0.0,100.0,10508.333333333334,12.0,26.5,88.187,0.68
PER,Red Bull Racing,46,47,302.0,100.0,0.0,10607.5,3.0,26.5,87.914,0.48
OCO,Alpine,46,23,288.0,100.0,0.0,10908.5,30.0,26.5,90.113,0.48
ALB,Williams,45,89,218.66666666666666,100.0,0.0,11123.666666666666,1.0,26.5,87.84499999999998,0.84
SAI,Ferrari,46,28,111.0,61.8,0.0,8745.6,22.0,26.5,90.712,1.48
VER,Red Bull Racing,46,62,293.3333333333333,100.0,0.0,10982.333333333334,2.0,26.5,87.902,0.84
TSU,AlphaTauri,46,41,300.5,100.0,0.0,10681.0,23.0,26.5,89.41,0.52
BOT,Alfa Romeo,45,86,135.6,25.8,0.0,8609.6,15.0,26.5,90.495,1.5590000000000002
HUL,Haas F1 Team,45,95,204.66666666666666,0.0,100.0,10122.0,11.0,26.5,89.5,0.88
OCO,Alpine,46,24,286.5,100.0,0.0,10888.0,30.0,26.5,90.113,0.72
PIA,McLaren,46,40,307.0,99.0,0.0,10820.0,9.0,26.5,88.806,0.36
MAG,Haas F1 Team,45,84,133.0,14.0,0.0,8346.0,22.0,26.5,90.11,1.599
LEC,Ferrari,46,53,181.66666666666666,99.0,0.0,11125.0,10.0,26.5,88.44599999999998,1.0
ZHO,Alfa Romeo,45,89,215.66666666666666,100.0,0.0,11607.0,7.0,26.5,89.89,1.0
GAS,Alpine,46,4,269.5,100.0,0.0,11673.0,13.0,26.5,89.428,0.72
STR,Aston Martin,46,14,265.0,96.0,0.0,10970.5,3.0,26.5,88.239,0.72
NOR,McLaren,46,49,108.28571428571429,0.2857142857142857,100.0,8398.142857142857,12.0,26.5,88.187,2.039
PER,Red Bull Racing,46,48,232.66666666666666,0.0,100.0,9437.666666666666,3.0,26.5,87.914,1.0
RUS,Mercedes,46,51,101.71428571428571,41.42857142857143,0.0,7816.142857142857,11.0,26.5,88.192,2.039
RIC,AlphaTauri,46,10,225.0,100.0,0.0,11552.0,14.0,26.5,88.708,0.72
VER,Red Bull Racing,46,63,296.5,100.0,0.0,10478.0,2.0,26.5,87.902,0.64
ALB,Williams,45,90,235.0,100.0,0.0,11107.5,1.0,26.5,87.845,0.64
PIA,McLaren,46,41,308.5,99.0,0.0,10927.0,9.0,26.5,88.806,0.64
ALO,Aston Martin,46,29,154.6,91.8,0.0,11321.4,10.0,26.5,88.554,1.439
TSU,AlphaTauri,46,42,303.0,100.0,0.0,10749.5,23.0,26.5,89.41,0.64
HAM,Mercedes,46,28,127.2,75.8,0.0,10139.4,10.0,26.5,89.729,1.319
GAS,Alpine,46,5,266.5,19.5,50.0,11361.0,13.0,26.5,89.428,0.679
HUL,Haas F1 Team,45,96,132.6,0.0,60.0,8094.8,11.0,26.5,89.5,1.319
STR,Aston Martin,46,15,264.6666666666667,88.66666666666667,0.0,11050.0,3.0,26.5,88.23899999999999,0.879
OCO,Alpine,46,25,223.75,0.0,100.0,10034.5,30.0,26.5,90.113,1.0790000000000002
RIC,AlphaTauri,46,11,239.66666666666666,100.0,0.0,10817.0,14.0,26.5,88.70800000000001,0.879
