Year,Event,Session,Driver,Team,LapNumber,micro_sector,Speed,Throttle,TyreLife,AirTemp,LapTimeSeconds,TimeSeconds
2023,Abu Dhabi,R,VER,Red Bull Racing,3,47,235.50714204835165,87.83564691575091,3.0,27.7,90.408,81.456153846
2023,Abu Dhabi,R,VER,Red Bull Racing,3,48,239.5670139111111,84.05367922666666,3.0,27.7,90.408,82.936166666
2023,Abu Dhabi,R,VER,Red Bull Racing,3,49,230.6425489599792,38.24081757741336,3.0,27.7,90.408,84.418
2023,Abu Dhabi,R,VER,Red Bull Racing,3,50,136.1403193076947,23.664448378595107,3.0,27.7,90.408,86.600619047
2023,Abu Dhabi,R,VER,Red Bull Racing,3,51,178.37638676676005,99.91004900392157,3.0,27.7,90.408,89.033117647
2023,Abu Dhabi,R,VER,Red Bull Racing,3,52,216.50694222222222,100.0,3.0,27.7,90.408,90.24925
2023,Abu Dhabi,R,VER,Red Bull Racing,4,0,235.8423889995465,100.0,4.0,27.7,90.716,0.692714285
2023,Abu Dhabi,R,VER,Red Bull Racing,4,1,260.79823568900434,100.0,4.0,27.7,90.716,2.194454545
2023,Abu Dhabi,R,VER,Red Bull Racing,4,2,268.6708080769051,60.059757567999995,4.0,27.7,90.716,3.5482
2023,Abu Dhabi,R,VER,Red Bull Racing,4,3,182.65513067213675,3.324998317948718,4.0,27.7,90.716,5.292615384
2023,Abu Dhabi,R,VER,Red Bull Racing,4,4,172.33822016944532,87.07838842196055,4.0,27.7,90.716,7.40975
2023,Abu Dhabi,R,VER,Red Bull Racing,4,5,218.75273920925375,91.79499904000001,4.0,27.7,90.716,9.182
2023,Abu Dhabi,R,VER,Red Bull Racing,4,6,228.04295133333335,72.83322873777777,4.0,27.7,90.716,10.7222
2023,Abu Dhabi,R,VER,Red Bull Racing,4,7,235.68672333090908,77.85554942545454,4.0,27.7,90.716,12.3306
2023,Abu Dhabi,R,VER,Red Bull Racing,4,8,238.7824495838384,83.11079819045224,4.0,27.7,90.716,13.787181818
2023,Abu Dhabi,R,VER,Red Bull Racing,4,9,253.5740571733333,100.0,4.0,27.7,90.716,15.3469
2023,Abu Dhabi,R,VER,Red Bull Racing,4,10,266.84922726742695,100.0,4.0,27.7,90.716,16.5526
2023,Abu Dhabi,R,VER,Red Bull Racing,4,11,278.1781247238095,100.0,4.0,27.7,90.716,17.9175
2023,Abu Dhabi,R,VER,Red Bull Racing,4,12,272.56735053987717,12.5,4.0,27.7,90.716,19.28925
2023,Abu Dhabi,R,VER,Red Bull Racing,4,13,186.56228912919542,0.0,4.0,27.7,90.716,20.872866666
2023,Abu Dhabi,R,VER,Red Bull Racing,4,14,112.4694613350866,43.789346096582,4.0,27.7,90.716,23.913904761
2023,Abu Dhabi,R,VER,Red Bull Racing,4,15,183.3418976076846,100.0,4.0,27.7,90.716,26.2545625
2023,Abu Dhabi,R,VER,Red Bull Racing,4,16,230.50557087131048,100.0,4.0,27.7,90.716,28.021090909
2023,Abu Dhabi,R,VER,Red Bull Racing,4,17,259.3335120152381,100.0,4.0,27.7,90.716,29.46175
2023,Abu Dhabi,R,VER,Red Bull Racing,4,18,274.87806344860263,100.0,4.0,27.7,90.716,30.775636363
2023,Abu Dhabi,R,VER,Red Bull Racing,4,19,285.5221785867821,100.0,4.0,27.7,90.716,32.063454545
2023,Abu Dhabi,R,VER,Red Bull Racing,4,20,292.3395090489095,100.0,4.0,27.7,90.716,33.258888888
2023,Abu Dhabi,R,VER,Red Bull Racing,4,21,297.6416792791919,100.0,4.0,27.7,90.716,34.5199
2023,Abu Dhabi,R,VER,Red Bull Racing,4,22,300.9167424387879,100.0,4.0,27.7,90.716,35.720636363
2023,Abu Dhabi,R,VER,Red Bull Racing,4,23,303.85405316036275,100.0,4.0,27.7,90.716,36.963111111
2023,Abu Dhabi,R,VER,Red Bull Racing,4,24,291.03837699200005,25.812504,4.0,27.7,90.716,38.1458
2023,Abu Dhabi,R,VER,Red Bull Racing,4,25,176.52224490808828,0.0,4.0,27.7,90.716,39.8166875
2023,Abu Dhabi,R,VER,Red Bull Racing,4,26,81.53355542432143,17.43935997395358,4.0,27.7,90.716,42.949030303
2023,Abu Dhabi,R,VER,Red Bull Racing,4,27,138.3437380400041,82.38716421258957,4.0,27.7,90.716,46.624947368
2023,Abu Dhabi,R,VER,Red Bull Racing,4,28,217.5474356043956,100.0,4.0,27.7,90.716,48.671846153
2023,Abu Dhabi,R,VER,Red Bull Racing,4,29,248.33496660750743,100.0,4.0,27.7,90.716,50.147090909
2023,Abu Dhabi,R,VER,Red Bull Racing,4,30,268.55941491255413,100.0,4.0,27.7,90.716,51.53390909
2023,Abu Dhabi,R,VER,Red Bull Racing,4,31,282.0289108833062,100.0,4.0,27.7,90.716,52.891090909
2023,Abu Dhabi,R,VER,Red Bull Racing,4,32,290.4339677663492,100.0,4.0,27.7,90.716,54.185222222
2023,Abu Dhabi,R,VER,Red Bull Racing,4,33,296.25353452380955,100.0,4.0,27.7,90.716,55.27025
2023,Abu Dhabi,R,VER,Red Bull Racing,4,34,298.88358622792595,60.720000000000006,4.0,27.7,90.716,56.5704
2023,Abu Dhabi,R,VER,Red Bull Racing,4,35,236.21250343140494,0.0,4.0,27.7,90.716,57.934454545
2023,Abu Dhabi,R,VER,Red Bull Racing,4,36,165.0052504137143,6.803915925333333,4.0,27.7,90.716,59.824666666
2023,Abu Dhabi,R,VER,Red Bull Racing,4,37,172.63042386285713,81.77728832857143,4.0,27.7,90.716,61.98425
2023,Abu Dhabi,R,VER,Red Bull Racing,4,38,216.2069005432687,100.0,4.0,27.7,90.716,63.875818181
2023,Abu Dhabi,R,VER,Red Bull Racing,4,39,241.09242375757574,100.0,4.0,27.7,90.716,65.334454545
2023,Abu Dhabi,R,VER,Red Bull Racing,4,40,260.3378303047934,90.78512661157025,4.0,27.7,90.716,66.745272727
2023,Abu Dhabi,R,VER,Red Bull Racing,4,41,246.66225260307692,0.0,4.0,27.7,90.716,68.254384615
2023,Abu Dhabi,R,VER,Red Bull Racing,4,42,173.63561256126982,0.0,4.0,27.7,90.716,70.0234
2023,Abu Dhabi,R,VER,Red Bull Racing,4,43,111.46436121114242,33.02453099331022,4.0,27.7,90.716,72.653
2023,Abu Dhabi,R,VER,Red Bull Racing,4,44,142.17084520990477,39.71212506514286,4.0,27.7,90.716,75.6164
2023,Abu Dhabi,R,VER,Red Bull Racing,4,45,147.82618137840834,47.31210431949929,4.0,27.7,90.716,78.057888888
2023,Abu Dhabi,R,VER,Red Bull Racing,4,46,199.5045916895238,100.0,4.0,27.7,90.716,80.16775
2023,Abu Dhabi,R,VER,Red Bull Racing,4,47,234.8266342646154,79.37823375238096,4.0,27.7,90.716,81.816923076
2023,Abu Dhabi,R,VER,Red Bull Racing,4,48,236.75659535275443,79.39198318018245,4.0,27.7,90.716,83.342923076
2023,Abu Dhabi,R,VER,Red Bull Racing,4,49,208.6307182352679,20.6000064,4.0,27.7,90.716,85.037666666
2023,Abu Dhabi,R,VER,Red Bull Racing,4,50,132.34837221818182,32.40642520519481,4.0,27.7,90.716,87.217545454
2023,Abu Dhabi,R,VER,Red Bull Racing,4,51,182.15286068114287,99.32866628266667,4.0,27.7,90.716,89.487466666
2023,Abu Dhabi,R,VER,Red Bull Racing,4,52,221.22792910056535,100.0,4.0,27.7,90.716,90.689333333
2023,Abu Dhabi,R,VER,Red Bull Racing,5,0,237.57645754962962,100.0,5.0,27.7,90.552,0.76525
2023,Abu Dhabi,R,VER,Red Bull Racing,5,1,261.9861253430303,100.0,5.0,27.7,90.552,2.257272727
2023,Abu Dhabi,R,VER,Red Bull Racing,5,2,267.2097198894545,31.982861165714286,5.0,27.7,90.552,3.544
2023,Abu Dhabi,R,VER,Red Bull Racing,5,3,180.17305692195805,3.6417304123076923,5.0,27.7,90.552,5.225
2023,Abu Dhabi,R,VER,Red Bull Racing,5,4,170.8839335279365,86.08451754644575,5.0,27.7,90.552,7.38975
2023,Abu Dhabi,R,VER,Red Bull Racing,5,5,217.50209216666667,88.34581562857143,5.0,27.7,90.552,9.15025
2023,Abu Dhabi,R,VER,Red Bull Racing,5,6,226.9378788848485,70.4892670060606,5.0,27.7,90.552,10.67790909
2023,Abu Dhabi,R,VER,Red Bull Racing,5,7,234.7472726109091,77.08924312565657,5.0,27.7,90.552,12.253727272
2023,Abu Dhabi,R,VER,Red Bull Racing,5,8,239.24132298901097,86.2070027206019,5.0,27.7,90.552,13.870461538
2023,Abu Dhabi,R,VER,Red Bull Racing,5,9,253.53251934883102,100.0,5.0,27.7,90.552,15.378454545
2023,Abu Dhabi,R,VER,Red Bull Racing,5,10,268.56886881015873,100.0,5.0,27.7,90.552,16.6259
2023,Abu Dhabi,R,VER,Red Bull Racing,5,11,279.66905918171426,100.0,5.0,27.7,90.552,17.9929
2023,Abu Dhabi,R,VER,Red Bull Racing,5,12,275.0678084285606,20.0,5.0,27.7,90.552,19.3265
